"","id","parameter","mean","median","sd","mad"
"1","G_log","beta",0.0611772717162434,0.0417018788508083,0.0632925774538995,0.0618272055841879
"2","G_log","phin",0.00530518794998867,0.00194225475406706,0.00881292152495323,0.0028795868983734
"3","G_log","phiw",0.00063511235419424,0.000155673032264936,0.00177277283048163,0.000230800837629173
"4","G_log","psin",0.00724826651591042,0.0017891917119095,0.0165641983430804,0.00265265563207059
"5","G_log","psiw",0.0149979054880567,0.00237102283193735,0.0260587455858688,0.00351527845062826
"6","G_log","rho",0.000551639942768967,0.000266339365118107,0.00082573792172436,0.000394874742715875
"7","G_none","beta",0.066740434543675,0.0302228463481491,0.0817029123132529,0.0448083919957082
"8","G_none","phin",0.0255164512415752,0.00136329222577558,0.0517410076473792,0.00202121705393488
"9","G_none","phiw",0.00202906356959539,0.000141347684001758,0.00837470277994482,0.000209562076276316
"10","G_none","psin",0.0247912595504778,0.00127665616824757,0.0502724978769295,0.00189277043504385
"11","G_none","psiw",0.0372079701495771,0.00138596164886984,0.0767761245421537,0.00205482674061442
"12","G_none","rho",0.00165972896826179,0.000180547359573957,0.00335737550115931,0.000267679515287889
"13","I+Ig_log","beta",0.085291880505126,0.0727219615595409,0.0766716311975604,0.0871112507097138
"14","I+Ig_log","phin",0.0363231744746773,0.00725185796552896,0.0520958510871476,0.0107516046147299
"15","I+Ig_log","phiw",0.00264066730266082,0.000408596411350108,0.0115739521790091,0.000586320588141874
"16","I+Ig_log","psin",0.0342251387177779,0.00628895327832169,0.04941829851956,0.00932400212723496
"17","I+Ig_log","psiw",0.0484327747480331,0.00591518077632802,0.0792878065714393,0.00876984701898374
"18","I+Ig_log","rho",0.00493988674041129,0.000820679002044855,0.00838093792176507,0.00121672812575133
"19","I+Ig_none","beta",0.117480299074398,0.0720446714168821,0.134697807052283,0.10489899920812
"20","I+Ig_none","phin",0.11787149624326,0.0114953522841521,0.18442272373548,0.0170430092964839
"21","I+Ig_none","phiw",0.0123273832574549,0.000519041762170325,0.0604021433052437,0.000751303254437244
"22","I+Ig_none","psin",0.10893150969274,0.0107963299993852,0.177265057866362,0.0160066388570885
"23","I+Ig_none","psiw",0.110034995883334,0.00822603812298262,0.172549655650615,0.012195924121134
"24","I+Ig_none","rho",0.0403074395811172,0.000776155475068485,0.10114751552572,0.00115072810733654
"25","Ig_log","beta",0.0876307451956315,0.0673321621560641,0.0816296527264938,0.0954456625090134
"26","Ig_log","phin",0.0163579835496576,0.00441224934411011,0.0250850261173268,0.00654149085941252
"27","Ig_log","phiw",0.00120957660445992,0.00025527591169805,0.00424220084530792,0.000361689783384684
"28","Ig_log","psin",0.0189001664029428,0.00384288949980549,0.0338828581735893,0.00569735795424744
"29","Ig_log","psiw",0.0310110716370026,0.00420633944372417,0.048462989661012,0.00623620884110146
"30","Ig_log","rho",0.00195982215910464,0.000550948763811121,0.00282918870986671,0.000816726619061273
"31","R_log","beta",0.109731726551096,0.0654063774611968,0.120499016037821,0.0968257214707414
"32","R_log","phin",0.120897489594027,0.0414339413463249,0.155802786485203,0.0613156822120441
"33","R_log","phiw",0.00552114566069093,0.000352322641328229,0.0285883026011566,0.000508561736363985
"34","R_log","psin",0.123069492606039,0.0381430129014593,0.162234288448073,0.0564676342211925
"35","R_log","psiw",0.0735699893041547,0.00160850788424316,0.122074072762247,0.00238477378917891
"36","R_log","rho",0.0650957493794757,0.00747498737632135,0.100756168391817,0.0110792050352408
"37","R_log-I_log","beta",0.163714225554326,0.102752995854027,0.187920499093365,0.149662413603567
"38","R_log-I_log","phin",0.183693056159082,0.0891898148972725,0.228296296259874,0.132232819566696
"39","R_log-I_log","phiw",0.00254585502272724,9.38147287632418e-05,0.0176025177405626,0.000139089716864382
"40","R_log-I_log","psin",0.174240837054453,0.0826628261403339,0.220096919924864,0.122555906035659
"41","R_log-I_log","psiw",0.0969871368345363,0.0109340152166348,0.168524811150071,0.0162107709601828
"42","R_log-I_log","rho",0.120580652013397,0.0211143141400028,0.195577238306124,0.0313040821439681
"43","R_log-I+Ig_log","beta",0.109917972564496,0.0819790159071854,0.117694500891499,0.0999108520069641
"44","R_log-I+Ig_log","phin",0.151840324104772,0.062058027258316,0.203790349700929,0.0920072310095063
"45","R_log-I+Ig_log","phiw",0.00239329617729003,4.28489068671212e-06,0.0107578974589751,6.35277893211938e-06
"46","R_log-I+Ig_log","psin",0.155861397034813,0.056653404871973,0.210042257814926,0.0839943380631669
"47","R_log-I+Ig_log","psiw",0.0494154750785411,0.00100687419328782,0.104795252502468,0.00149279167896852
"48","R_log-I+Ig_log","rho",0.0549763893987253,0.0124598208366855,0.0917350068815565,0.0184729303724699
"49","R_none","beta",0.109743071983103,0.0686904458333082,0.116120902627746,0.101674721250289
"50","R_none","phin",0.114740430833411,0.0409541159452687,0.146659080968052,0.0605695195675459
"51","R_none","phiw",0.0046619654202438,0.000330240054280395,0.0241325562090703,0.000473074648351711
"52","R_none","psin",0.116740478795974,0.0377061637372389,0.153335036676197,0.0557888079488433
"53","R_none","psiw",0.0697620361218992,0.00160707911689428,0.11478774172666,0.00238265549870746
"54","R_none","rho",0.0614192504966643,0.00754077361500016,0.0949655526339195,0.011175952752264
"55","R_none-I_log","beta",0.130804402732818,0.0530935838962743,0.179321179793252,0.0752274117567594
"56","R_none-I_log","phin",0.205391129568161,0.050705986689481,0.290191200824252,0.0751513832184105
"57","R_none-I_log","phiw",0.0113735704477873,1.40893755162796e-05,0.0765214156586184,2.08888767640153e-05
"58","R_none-I_log","psin",0.209430956787699,0.0437792003732285,0.297401165250969,0.0648946361685973
"59","R_none-I_log","psiw",0.0979408884807575,0.0028719044680825,0.208678196267259,0.00425788435878141
"60","R_none-I_log","rho",0.148950655576047,0.00619928786591561,0.302407043118146,0.00918999781474599
"61","R_none-I+Ig_log","beta",0.237974988443097,0.160538925298104,0.246801584011741,0.237427732505359
"62","R_none-I+Ig_log","phin",0.241425698389414,0.149410274833262,0.258686630093625,0.221515673467794
"63","R_none-I+Ig_log","phiw",0.00832472524526322,0.000167493693314924,0.0409447319815027,0.000248326149708706
"64","R_none-I+Ig_log","psin",0.239901928362571,0.141270460353105,0.259737350976711,0.209447584519513
"65","R_none-I+Ig_log","psiw",0.152104339951812,0.0191700586467336,0.235063304193381,0.0284215289496472
"66","R_none-I+Ig_log","rho",0.14595329988218,0.0403878818447279,0.192966363288637,0.0598790736229935
